NE,1005,APT,137,17TH,AVE,HILLSBORO,OR,97124,7570327.50361,689734.09678
SE,3709,APARTMENT,200,HAWTHORNE,BLVD,PORTLAND,OR,97214,7657279.73688,680023.52198
NW,1037,APARTMENT,108,20TH,AVE,PORTLAND,OR,97209,7640222.58399,687118.36089
SE,9105,UNIT,15,32ND,AVE,MILWAUKIE,OR,97222,7655565.08497,659696.479
N,3951,SUITE,406,WILLIAMS,AVE,PORTLAND,OR,97227,7647067.43602,694580.41207
SW,6685,APT,#45,SAGERT,ST,TUALATIN,OR,97062,7625063.28237,631840.73397
SE,3808,APARTMENT,4,CESAR E CHAVEZ,BLVD,PORTLAND,OR,97202,7658042.63189,673826.45505
NW,2020,APARTMENT,205,NORTHRUP,ST,PORTLAND,OR,97209,7640179.41306,687315.81004
 ,543,UNIT,C-1,3RD,ST,LAKE OSWEGO,OR,97034,7646003.9311,647316.24409
SW,1125,APARTMENT,303,12TH,AVE,PORTLAND,OR,97205,7641827.86909,682387.08596
W,2139,APARTMENT,302,BURNSIDE,ST,PORTLAND,OR,97210,7639552.21916,684591.28707
NE,11221,APARTMENT,14,GLISAN,ST,PORTLAND,OR,97220,7677387.07513,684833.78314
NW,926,SUITE,150,13TH,AVE,PORTLAND,OR,97209,7642503.35203,686782.99409
SW,8330,#,63,GREENWAY, ,BEAVERTON,OR,97008,7612609.54199,662072.35236
NE,3141,APARTMENT,324,148TH,AVE,PORTLAND,OR,97230,7686986.40814,691393.06398
SE,5200,APARTMENT,18,132ND,AVE,PORTLAND,OR,97236,7682203.6601,669445.92389
SW,707,SUITE,500,WASHINGTON,ST,PORTLAND,OR,97205,7643623.88714,683637.99016
SW,2409,APARTMENT,8,NEBRASKA,ST,PORTLAND,OR,97239,7637329.82087,668047.71686
NE,391,APT,D,AUTUMN ROSE,WAY,HILLSBORO,OR,97124,7565071.16831,692300.28117
NW,820,UNIT,38,WADE,ST,ESTACADA,OR,97023,7729376.99967,599627.41535
