FID,Type,Source,Verified,Name,Prefix,House_Numb,Unit_Type,Unit_Numbe,Street_Nam,Street_Typ,City,State,Zip,Stop_ID,X_Coord,Y_Coord,Lat,Lon
54,Residential Addresses,MAF Fixes, , ,NE,1231, , ,Broadway,St,Portland,OR,97232.000000000000000, ,7650450.000000000000000,688595.000000000000000,45.5352622229493,-122.653099817267
55,Residential Addresses,MAF Fixes, , ,SW,841, , ,Gaines,St,Portland,OR,97239.000000000000000, ,7646021.256000000100000,674676.168999999990000,45.4967761207387,-122.668918940676
56,Residential Addresses,MAF Fixes, , ,SE,216, , ,103rd,Ave,Portland,OR,97216.000000000000000, ,7675029.500000000000000,682686.000000000000000,45.5208174173722,-122.556620994503
57,Residential Addresses,MAF Fixes, , ,SE,1322, , ,Water,Ave,Portland,OR,97214.000000000000000, ,7647012.500000000000000,680604.250000000000000,45.5131020717715,-122.665674214803
58,Residential Addresses,MAF Fixes, , ,SE,1508, , ,21st,Ave,Portland,OR,97214.000000000000000, ,7652588.000000000000000,680013.000000000000000,45.5118888370326,-122.643870452205
59,Residential Addresses,MAF Fixes, , ,SE,4105, , ,International,Way,Milwaukie,OR,97222.000000000000000, ,7657862.000000000000000,653600.400000000020000,45.4398536803082,-122.620599784862
60,Residential Addresses,MAF Fixes, , ,NE,3268, , ,Emerson,St,Portland,OR,97211.000000000000000, ,7656358.000000000000000,697943.550000000050000,45.5613226191595,-122.631013729635
61,Residential Addresses,MAF Fixes, , ,NE,5330, , ,Glisan,St,Portland,OR,97213.000000000000000, ,7661807.769999999600000,685012.841900000000000,45.5262624319107,-122.608425766727
62,Residential Addresses,MAF Fixes, , ,N,9345, , ,Fiske,Ave,Portland,OR,97203.000000000000000, ,7634623.250000000000000,709110.050000000050000,45.5903332565615,-122.717038112562
63,Residential Addresses,MAF Fixes, , ,N,9349, , ,Fiske,Ave,Portland,OR,97203.000000000000000, ,7634617.000000000000000,709122.050000000050000,45.5903656852797,-122.717063804251
64,Residential Addresses,MAF Fixes, , ,N,9333, , ,Fiske,Ave,Portland,OR,97203.000000000000000, ,7634615.500000000000000,709058.800000000050000,45.5901921669873,-122.717062882147
65,Residential Addresses,MAF Fixes, , ,N,9337, , ,Fiske,Ave,Portland,OR,97203.000000000000000, ,7634615.500000000000000,709077.300000000050000,45.5902428863578,-122.717064865056
66,Residential Addresses,MAF Fixes, , ,N,9341, , ,Fiske,Ave,Portland,OR,97203.000000000000000, ,7634621.250000000000000,709094.300000000050000,45.5902899260523,-122.717044234173
67,Residential Addresses,MAF Fixes, , ,N,9321, , ,Fiske,Ave,Portland,OR,97203.000000000000000, ,7634618.250000000000000,708992.750000000000000,45.590011292066,-122.717045064306
68,Residential Addresses,MAF Fixes, , ,N,9313, , ,Fiske,Ave,Portland,OR,97203.000000000000000, ,7634616.500000000000000,708960.000000000000000,45.5899213733723,-122.717048387552
69,Residential Addresses,MAF Fixes, , ,N,9309, , ,Fiske,Ave,Portland,OR,97203.000000000000000, ,7634617.000000000000000,708940.500000000000000,45.5898679500351,-122.717044345064
70,Residential Addresses,MAF Fixes, , ,N,9305, , ,Fiske,Ave,Portland,OR,97203.000000000000000, ,7634614.500000000000000,708923.500000000000000,45.5898211549079,-122.717052285062
71,Residential Addresses,MAF Fixes, , ,N,9325, , ,Fiske,Ave,Portland,OR,97203.000000000000000, ,7634615.500000000000000,709004.000000000000000,45.5900419279823,-122.717057008469
72,Residential Addresses,MAF Fixes, , ,N,9133, , ,Fiske,Ave,Portland,OR,97203.000000000000000, ,7634603.500000000000000,708687.500000000000000,45.5891733123054,-122.717069942924
73,Residential Addresses,MAF Fixes, , ,N,9121, , ,Fiske,Ave,Portland,OR,97203.000000000000000, ,7634606.000000000000000,708640.500000000000000,45.5890446457787,-122.717055143385
74,Residential Addresses,MAF Fixes, , ,N,9125, , ,Fiske,Ave,Portland,OR,97203.000000000000000, ,7634606.000000000000000,708658.500000000000000,45.5890939943728,-122.717057072657
75,Residential Addresses,MAF Fixes, , ,N,9129, , ,Fiske,Ave,Portland,OR,97203.000000000000000, ,7634606.500000000000000,708675.500000000000000,45.5891406390042,-122.717056942352
76,Residential Addresses,MAF Fixes, , ,N,9117, , ,Fiske,Ave,Portland,OR,97203.000000000000000, ,7634604.500000000000000,708621.000000000000000,45.588991071921,-122.71705891052
77,Residential Addresses,MAF Fixes, , ,N,9105, , ,Fiske,Ave,Portland,OR,97203.000000000000000, ,7634602.500000000000000,708558.400000000020000,45.5888192979621,-122.717060010508
78,Residential Addresses,MAF Fixes, , ,N,4902, , ,Trenton,St,Portland,OR,97203.000000000000000, ,7634602.500000000000000,708460.300000000050000,45.588550348093,-122.717049496057
79,Residential Addresses,MAF Fixes, , ,N,9637, , ,Fiske,Ave,Portland,OR,97203.000000000000000, ,7634708.750000000000000,709808.699999999950000,45.5922550999317,-122.716779120482
80,Residential Addresses,MAF Fixes, , ,N,9641, , ,Fiske,Ave,Portland,OR,97203.000000000000000, ,7634705.250000000000000,709820.699999999950000,45.5922877356111,-122.716794074113
81,Residential Addresses,MAF Fixes, , ,N,9645, , ,Fiske,Ave,Portland,OR,97203.000000000000000, ,7634707.250000000000000,709834.699999999950000,45.592326268305,-122.71678776454
82,Residential Addresses,MAF Fixes, , ,N,9649, , ,Fiske,Ave,Portland,OR,97203.000000000000000, ,7634706.500000000000000,709851.060000000060000,45.5923710642199,-122.716792446685
83,Residential Addresses,MAF Fixes, , ,N,9332, , ,Dwight,Ave,Portland,OR,97203.000000000000000, ,7635194.750000000000000,709144.189999999940000,45.5904698396814,-122.714810129858
84,Residential Addresses,MAF Fixes, , ,N,9336, , ,Dwight,Ave,Portland,OR,97203.000000000000000, ,7635189.500000000000000,709163.439999999940000,45.5905222205968,-122.714832691752
85,Residential Addresses,MAF Fixes, , ,N,9340, , ,Dwight,Ave,Portland,OR,97203.000000000000000, ,7635186.500000000000000,709178.689999999940000,45.5905638043009,-122.714846039361
86,Residential Addresses,MAF Fixes, , ,N,9344, , ,Dwight,Ave,Portland,OR,97203.000000000000000, ,7635182.500000000000000,709191.939999999940000,45.5905998296456,-122.714863077731
87,Residential Addresses,MAF Fixes, , ,N,9348, , ,Dwight,Ave,Portland,OR,97203.000000000000000, ,7635177.750000000000000,709208.939999999940000,45.5906460795625,-122.714883446346
88,Residential Addresses,MAF Fixes, , ,N,9352, , ,Dwight,Ave,Portland,OR,97203.000000000000000, ,7635174.500000000000000,709226.439999999940000,45.5906938130399,-122.714898011179
89,Residential Addresses,MAF Fixes, , ,NE,1721, , ,108th,Ave,Portland,OR,97220.000000000000000, ,7676365.000000000000000,687900.000000000000000,45.5352062038797,-122.551928744913
90,Residential Addresses,MAF Fixes, , ,SE,6021, , ,72nd,Ave,Portland,OR,97206.000000000000000, ,7666176.000000000000000,667717.500000000000000,45.4791539165059,-122.589641597451
91,Residential Addresses,MAF Fixes, , ,NE,310, , ,55th,Ave,Portland,OR,97213.000000000000000, ,7662119.000000000000000,684593.500000000000000,45.5251349734468,-122.607169107842
92,Residential Addresses,MAF Fixes, , ,SE,6834, , ,Powell,Blvd,Portland,OR,97206.000000000000000, ,7665575.000000000000000,674500.800000000050000,45.4977095863324,-122.592668870653
93,Residential Addresses,MAF Fixes, , ,SE,2522, , ,Clinton,St,Portland,OR,97202.000000000000000, ,7653526.250000000000000,676832.000000000000000,45.5032356320343,-122.63988303495
94,Residential Addresses,MAF Fixes, , ,SE,3689, , ,Francis,St,Portland,OR,97202.000000000000000, ,7657444.000000000000000,673743.060000000060000,45.495050103159,-122.624290941158
95,Residential Addresses,MAF Fixes, , ,SE,5661, , ,Harold,St,Portland,OR,97206.000000000000000, ,7662286.250000000000000,669310.000000000000000,45.4832432867794,-122.60496318447
96,Residential Addresses,MAF Fixes, , ,N,4015, , ,Albina,Ave,Portland,OR,97227.000000000000000, ,7645068.000000000000000,694975.250000000000000,45.5523594741771,-122.674765943636
97,Residential Addresses,MAF Fixes, , ,SE,14359, , ,Powell,Blvd,Portland,OR,97236.000000000000000, ,7685448.000000000000000,674718.750000000000000,45.4996927031732,-122.515209897899
98,Residential Addresses,MAF Fixes, , ,NE,1606, , ,90th,Ave,Portland,OR,97220.000000000000000, ,7671397.500000000000000,687839.300000000050000,45.5346921551373,-122.571302238224
99,Residential Addresses,MAF Fixes, , ,N,3625, , ,Farragut,St,Portland,OR,97217.000000000000000, ,7637823.500000000000000,705076.449999999950000,45.5795148725291,-122.704111664394
100,Residential Addresses,MAF Fixes, , ,SE,6236, , ,134th,Ave,Portland,OR,97236.000000000000000, ,7682455.000000000000000,666733.250000000000000,45.4775924263915,-122.52609830436
101,Residential Addresses,MAF Fixes, , ,SE,3334, , ,7th,Ave,Portland,OR,97202.000000000000000, ,7648724.500000000000000,675475.699999999950000,45.499166740872,-122.658463578364
102,Residential Addresses,MAF Fixes, , ,NW,18101, , ,Evergreen,Pkwy,Beaverton,OR,97006.000000000000000, ,7596326.122999999700000,691514.287200000020000,45.539115927088,-122.864564544922
103,Residential Addresses,MAF Fixes, , ,SE,13843, , ,McLoughlin,Blvd,Milwaukie,OR,97222.000000000000000, ,7654246.000000000000000,647531.300000000050000,45.4229523568877,-122.634058339015
104,Residential Addresses,MAF Fixes, , ,SE,4012, , ,17th,Ave,Portland,OR,97202.000000000000000, ,7651477.000000000000000,673416.800000000050000,45.4937229676859,-122.647518986304
105,Residential Addresses,MAF Fixes, , ,SE,4400, , ,17th,Ave,Portland,OR,97202.000000000000000, ,7651376.000000000000000,672510.250000000000000,45.4912300905122,-122.647818743354
106,Residential Addresses,MAF Fixes, , ,NE,13007, , ,Glisan,St,Portland,OR,97230.000000000000000, ,7682100.500000000000000,684649.099999999980000,45.5266901813199,-122.529234084195
107,Residential Addresses,MAF Fixes, , ,SE,3287, , ,Risley,Ave,Oak Grove,OR,97267.000000000000000, ,7655387.000000000000000,643045.599999999980000,45.4107360343321,-122.629155474512
108,Residential Addresses,MAF Fixes, , ,SW,1600, , ,4th,Ave,Portland,OR,97201.000000000000000, ,7643435.000000000000000,680311.000000000000000,45.5120342392364,-122.679594231187
